Name,Comment,Time,Likes,Reply Count
sp dwivedi,"didi java padha ke itna khush hai ki , python ko bhi baar baar java bol ri hain😂😂😂😂",2023-10-10T11:04:08Z,0,0
Focus on coching classes,Ha beta sahi pada rahe ho,2023-10-10T05:34:26Z,0,0
salesforce cloud,pyscriptor could not load a python engine aise aa raha he pyscripter install krne ke bad<br>please help,2023-10-09T14:37:15Z,0,0
Amita Sah,Nice video! It was very helpful... You are an awesome instructor ma&#39;am!🙏🙏🙏🙏🙏,2023-10-09T11:11:30Z,0,0
Madhuri Sharma,i think we need to change input function to int: below is working for me<br>old_age = input(&quot;Enter your old age: &quot;)<br>old_age = int(old_age)  # Convert the input to an integer<br>new_age = old_age + 5<br>print(new_age),2023-10-09T09:28:34Z,0,0
WORK ETHIC BRAIN CREATION CAN POSSIBLE TIME,OKAY YES PRINT,2023-10-09T01:30:39Z,0,0
Priyanka kumari,What is the python version in pyscripter after install and open and how to short out this problem ??,2023-10-08T17:05:32Z,0,0
Priyanka kumari,Pls make a video how to run python in visual studio code because in my computer run button not work in pyscripter,2023-10-08T16:59:21Z,0,0
palak mudgal,Company name mai kya likhe ??,2023-10-07T16:13:50Z,0,0
Neha Pr,"Hats off, The best Python tutorial on the internet😍",2023-10-06T18:48:18Z,0,0
METHALO .GAMING,The input is not working in my computer,2023-10-06T15:56:19Z,0,0
vishal_vishuzzz,Where we get notes???,2023-10-06T15:03:45Z,0,0
Rushikesh Bankar,Please upload the vedio on python in data science,2023-10-06T07:01:18Z,0,0
WORK ETHIC BRAIN CREATION CAN POSSIBLE TIME,KING YES I AM ALL THE TIME UNIVERSAL OKAY,2023-10-06T01:32:22Z,0,0
Ritika Andewad,How to download your python notes please help,2023-10-05T18:27:07Z,1,0
Eknath Chavhan,i like your teaching skill MAM,2023-10-05T17:57:19Z,0,0
mahendra gaikwad,pls mam machine learnig full course,2023-10-05T10:08:32Z,0,0
WORK ETHIC BRAIN CREATION CAN POSSIBLE TIME,NEVER NOTSLEEP NOT,2023-10-05T01:26:26Z,0,0
WORK ETHIC BRAIN CREATION CAN POSSIBLE TIME,NOTLAUGH NOT CRY NOTSLEEP NOT,2023-10-05T00:43:40Z,0,0
WORK ETHIC BRAIN CREATION CAN POSSIBLE TIME,NEVER NOTSLEEP NOTSPEAK NOTSTOP NOTFEAR NOTFORGET NOTJOB,2023-10-05T00:43:07Z,0,0
Omer Mian ,"This Python tutorial is a must-watch! I&#39;d easily rate it 5 stars. It&#39;s incredibly well-structured, starting from the basics and gradually diving into advanced topics. The hands-on exercises make learning engaging and practical. The instructor&#39;s delivery is superb, and the tutorial covers a wide range of Python concepts. Whether you&#39;re a beginner or looking to level up your Python skills, this tutorial is a gem. Highly recommended! ⭐⭐⭐⭐⭐<br>Thank you so much",2023-10-04T22:44:03Z,11,1
PRIYABRATA SAHOO,Konsa company laptop buy karenge bolo,2023-10-04T18:21:46Z,0,0
Mubashir Tahir,continue python series to advance level.,2023-10-04T08:19:09Z,0,0
Rajkumar Singh,Very structured wayand nicely explained ..:),2023-10-04T06:02:02Z,0,0
Kaleem Gondal,"<a href=""https://mkgtechworldlatestgoodnewsnetwork.blogspot.com/"">https://mkgtechworldlatestgoodnewsnetwork.blogspot.com/</a>",2023-10-04T03:05:32Z,0,0
~DEEPANSHU~,"Why ?? See output!!!!<br>marks = [90, 3, 2, 00]<br>print(marks[1])<br>print(marks[0:1])<br><br><br>3<br>[90]<br><br>Process finished with exit code 0",2023-10-03T22:06:23Z,0,0
वर्द्धमानRJ20,Kya ek Non–IT background ka person bhi ise sikh skta h?<br>Agar sikhta hai to Kitna time lagega?,2023-10-03T18:48:33Z,0,0
venkatesh babu,thank you mam ❤,2023-10-03T15:56:50Z,0,0
U&C. ARTs,Tomorrow is my exam basic python.😂,2023-10-03T15:05:00Z,0,0
AGERY X,i am in class 11,2023-10-03T13:01:20Z,0,0
Aashutosh Kulkarni,"First Day <a href=""https://www.youtube.com/watch?v=vLqTf2b6GZw&amp;t=23m37s"">23:37</a> Great start for Commerce student",2023-10-03T12:36:25Z,0,0
Gut Bhai,Hum vs code mein code nhi kr skte kya shraddha maam.<br>And you are the best teacher 🤍🫀i have ever seen in this field.<br>Thank you for providing us this kind of material.<br>Really appreciate you...<br>❤,2023-10-03T06:49:46Z,0,0
Abhinav Dayal,Did these similar coding in java 13 years back.. Class 10th yaad aa gaya,2023-10-03T02:50:57Z,0,0
kajal gadekar,Nice,2023-10-02T16:53:12Z,0,0
Buddy Gamer,"<a href=""https://www.youtube.com/watch?v=vLqTf2b6GZw&amp;t=26m47s"">26:47</a>",2023-10-02T15:47:44Z,0,0
For Study,Great job 👏 clapping 👏 from Pakistan 🇵🇰🥀,2023-10-02T13:15:48Z,0,0
divyang Chauhan,Please make video advance python,2023-10-02T08:35:51Z,0,0
mr.unique,"don&#39;t like this <a href=""http://www.youtube.com/results?search_query=%23comment"">#comment</a><br>👎",2023-10-02T06:47:23Z,1,0
RAP WORLD,exercise-1 <br>name = &quot;tony stark&quot;<br>age = 51<br>print(name)<br>print(age)<br>print(&quot;tony is a genius&quot;)<br>this is the code of 1st exercise,2023-10-02T06:40:47Z,1,0
WORK ETHIC BRAIN CREATION CAN POSSIBLE TIME,ALL THE TIME I AM ALL OKAY DETERMINED NOTSLEEP DIESLEEP,2023-10-02T06:07:19Z,1,0
@Three💓sisters,"Please make a on Panda ,data visualization  topic etc.",2023-10-02T04:21:20Z,0,0
@Three💓sisters,data scientist se related python ki video bnaiye,2023-10-02T04:19:31Z,0,0
EnCRYPTED Juice,PLEASE UPLOAD FULL COURSE OF PYTHON!,2023-10-01T11:54:28Z,0,0
Star Gamerz,You guys are doing a great job❤,2023-10-01T06:40:14Z,0,0
MRIDUL RAJPUROHIT,VERY NICE VIDEO,2023-09-30T18:11:01Z,0,0
shaista hadalge,"You are awesome,I want these series of videos till advanced level .. please",2023-09-30T14:49:15Z,1,0
Swaraj Shitole,Please make same for c++,2023-09-30T14:14:05Z,0,0
SUCCESS MIND MANTRA,I learnt python thank you didi,2023-09-30T04:41:01Z,0,0
usman85112,How to download video?,2023-09-30T04:03:58Z,0,0
Prateek Negi,Waah Kya copy mara h Mosh ko 👏🏻👏🏻👏🏻,2023-09-29T23:54:57Z,0,0
Alum,She was also the fan of Iron man😅,2023-09-29T16:17:48Z,0,0
Rohit Tiwari,hahahahahhahah😃😄😄 Apne toh cheating krna bhi sikha diya,2023-09-29T14:30:49Z,0,0
Harshita Anmol,"Shraddha Di this is much understandable, and yaah want the playlist for ML",2023-09-29T11:07:26Z,0,0
Zakaria Jafri,"I don&#39;t have previous knowledge on it so can I learn python basics from that video, someone reply plz 🙏🙏🙏",2023-09-29T07:56:09Z,1,0
Sarthak Chordia,bhai hame to nep ki vajah se civil engineering fy me coding he wtf!!!!,2023-09-29T05:06:17Z,0,0
Karmveer Gaur,Very informative video,2023-09-28T16:38:04Z,0,0
Its Shubh,Thankyou didi ji,2023-09-28T16:12:18Z,0,0
Astha yadav,Mai to kal ke exam ke liye aayi hu 😂😂 aur yha to placement ke liye....,2023-09-28T11:44:53Z,2,1
Prakhar Mittal,"<a href=""https://www.youtube.com/watch?v=vLqTf2b6GZw&amp;t=45m00s"">45:00</a>",2023-09-28T08:56:16Z,0,0
